TTEN3
ABCB4
ALOS3
ALPA4
ALUP11
ABEV3
AMBP3
ANIM3
ARML3
ASAI3
AURE3
AMOB3
AZEV4
AZTE3
AZUL4
AZZA3
BPAN4
BBSE3
BMOB3
BLAU3
SOJA3
BRBI11
BBDC3
BBDC4
BRAP4
BBAS3
AGRO3
BRAV3
BRFS3
BPAC11
CXSE3
CAML3
CRFB3
BHIA3
CBAV3
CCRO3
CEAB3
CMIG4
COGN3
CSMG3
CPLE3
CSAN3
CPFE3
CMIN3
CURY3
CVCB3
CYRE3
DASA3
DXCO3
PNVL3
DIRR3
ECOR3
ELET3
EMBR3
ENGI11
ENEV3
EGIE3
EQTL3
EVEN3
EZTC3
FESA4
FLRY3
FRAS3
GFSA3
GGBR4
GOAU4
GGPS3
GRND3
GMAT3
NTCO3
SBFG3
GUAR3
HAPV3
HBSA3
HYPE3
IGTI11
INTB3
MYPK3
RANI3
IRBR3
ISAE4
ITSA4
ITUB3
ITUB4
JALL3
JBSS3
JHSF3
JSLG3
KEPL3
KLBN11
LAVV3
RENT3
LOGG3
LREN3
LWSA3
MDIA3
MGLU3
POMO4
MRFG3
CASH3
LEVE3
MILS3
BEEF3
MTRE3
MDNE3
MOVI3
MRVE3
MLAS3
MULT3
NEOE3
OPCT3
ODPV3
ONCO3
ORVR3
PCAR3
PGMN3
PETR3
PETR4
RECV3
PRIO3
PETZ3
PLPL3
PSSA3
POSI3
PRNR3
QUAL3
LJQQ3
RADL3
RAIZ4
RAPT4
RCSL3
RCSL4
RDOR3
RAIL3
SBSP3
SAPR11
SANB11
STBP3
SMTO3
SEER3
SRNA3
CSNA3
SIMH3
SLCE3
SMFT3
SUZB3
SYNE3
TAEE11
TASA4
TGMA3
VIVT3
TEND3
TIMS3
TOTS3
TUPY3
UGPA3
USIM3
VALE3
VLID3
VAMO3
VBBR3
VIVA3
VVEO3
VULC3
WEGE3
PORT3
YDUQ3
ZAMP3
