ALOS3
ABEV3
ASAI3
AURE3
AZZA3
BBSE3
BBDC3
BBDC4
BRAP4
BBAS3
BRAV3
BPAC11
CXSE3
CEAB3
CMIG4
COGN3
CSAN3
CPFE3
CMIN3
CURY3
CVCB3
CYRE3
DIRR3
ELET3
EMBR3
ENGI11
ENEV3
EGIE3
EQTL3
FLRY3
GGBR4
GOAU4
HAPV3
HYPE3
IGTI11
IRBR3
ISAE4
ITSA4
ITUB4
KLBN11
RENT3
LREN3
MGLU3
POMO4
MBRF3
BEEF3
MOTV3
MRVE3
MULT3
NATU3
PCAR3
PETR3
PETR4
RECV3
PRIO3
PSSA3
RADL3
RAIZ4
RDOR3
RAIL3
SBSP3
SANB11
CSNA3
SLCE3
SMFT3
SUZB3
TAEE11
VIVT3
TIMS3
TOTS3
UGPA3
VALE3
VAMO3
VBBR3
VIVA3
WEGE3
YDUQ3
