HAPV3
COGN3
PETR4
BBDC4
ITSA4
ABEV3
MGLU3
ITUB4
CRFB3
VALE3
CVCB3
BBAS3
LREN3
CMIG4
CSAN3
PCAR3
NTCO3
BRAV3
POMO4
PRIO3
GOAU4
PETR3
BEEF3
ASAI3
VAMO3
ANIM3
RAIZ4
AZUL4
GGBR4
RAIL3
MRVE3
CCRO3
AMOB3
GFSA3
RADL3
LWSA3
CSNA3
BHIA3
RENT3
JBSS3
ENEV3
VBBR3
ELET3
EQTL3
BPAC11
BBDC3
MOVI3
SIMH3
CBAV3
CMIN3
