MMMC34
ABBV34
ADBE34
AIRB34
BABA34
GOGL34
AMZO34
AALL34
AXPB34
AAPL34
ARMT34
ASML34
ATTB34
BIDU34
BOAC34
BERK34
BLAK34
BKNG34
AVGO34
CATP34
CHVX34
CSCO34
CTGP34
COCA34
COLG34
CMCS34
COPH34
COWC34
DHER34
DEEC34
DEOP34
DGCO34
EQIX34
EXXO34
FSLR34
FDMO34
GEOO34
GMCO34
GSGI34
HOME34
HPQB34
ITLC34
JDCO34
JNJB34
JPMC34
KHCB34
LILY34
MSCD34
MCDC34
MELI34
MRCK34
MUTC34
MSFT34
MSBR34
NFLX34
NEXT34
NIKE34
ROXO34
NVDC34
OXYP34
ORCL34
PAGS34
PYPL34
PEPB34
PFIZ34
PGCO34
QCOM34
RIOT34
SSFO34
BCSA34
SIMN34
SNEC34
SBUB34
STOC34
TSMC34
TLNC34
TSLA34
TEXA34
TMOS34
TMCO34
RIGG34
ULEV34
UNHH34
VERZ34
VISA34
WALM34
DISB34
WFCO34
